SEXO, SEDE, CODIGO DEL PROGRAMA, PROGRAMA, CODIGO DE LA FACULTAD FACULTAD, FACULTAD, CODIGO DEL PAIS, PAIS NACIMIENTO, COD_DEPTO_NACE, DEPARTAMENTO_NACE, COD_MUNI_NACE, NOMBRE_MUNI_NACE, COD_PAIS_VIVE, PAIS_VIVE, COD_DEPTO_VIVE, DEPARTAMENTO_VIVE, COD_MUNI_VIVE, NOMBRE_MUNI_VIVE, CREDITOS_ULTIM_SEMEST_MATRIC, SEMESTRE_INICIA_PROGRAMA, CRED_CURS_PROG , CRED_APROB_PROG, PROMEDIO_SEMESTRE, PROMEDIO_PROGRAMA
FEME, MEDELLIN, 514, ING INDUSTRIAL, 25, FACULTAD DE INGENIERÍA, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 411, LIBORINA, 13, 20172, 21, 9, 2.4, 2.82

FEME, ANDES, 710, ING. AGROPECUARIA-ANDES, 50, FAC CIENCIAS AGRARIAS, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 15, 20181, 17, 14, 3.21, 3.21

MASC, CARMENVI, 782, CIENCIAS CULIN-CARMEN VIB, 40, FAC CIEN FARMACÉUTI Y ALI, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 46, COLOMBIA, 5, ANTIOQUIA, 1, MEDELLIN, 15, 20181, 17, 18, 4.29, 4.29

FEME, YARUMAL, 773, TEC REG FARMACIA -YARUMAL, 40, FAC CIEN FARMACÉUTI Y ALI, 46, COLOMBIA, 5, ANTIOQUIA, 38, ANGOSTURA, 46, COLOMBIA, 5, ANTIOQUIA, 887, YARUMAL, 16, 20181, 17, 17, 4.15, 4.15

FEME, ANDES, 114, CONTADURÍA - ANDES, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 34, ANDES, 46, COLOMBIA, 5, ANTIOQUIA, 209, CONCORDIA, 16, 20181, 17, 17, 3.49, 3.49

MASC, TURBO, 950, ECOL ZONAS COSTERAS-TURBO, 17, CORPORACIÓN AMBIENTAL, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 15, 20181, 11, 8, 9.99, 9.99

MASC, APARTADO, 119, ADMINIST DE EMPRESA-APART, 15, FACULTAD CCIAS ECONÓMICAS, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 17, 20181, 14, 6, 3.11, 3.11

FEME, APARTADO, 339, PSICOLOGÍA - APARTADÓ, 9, FAC CCIAS SOCIALES Y HUM., 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 837, TURBO, 20, 20172, 48, 48, 4.03, 3.89

FEME, APARTADO, 338, COMU SOCIAL PER - APARTAD, 12, FAC DE COMUNICACIONES, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 46, COLOMBIA, 5, ANTIOQUIA, 45, APARTADO, 20, 20181, 22, 19, 3.72, 3.72

